target,task_type,feature,importance
Completion_Time,regression,Process_Variable,0.1354331386602657
Completion_Time,regression,Machine_Load,0.12850483449460862
Completion_Time,regression,Queue_Length,0.07093948340534457
Completion_Time,regression,Deadline,0.19874637980822266
Completion_Time,regression,Temperature,0.12198882637868991
Completion_Time,regression,Vibration_Level,0.17372832095402893
Completion_Time,regression,Sensor_Status,0.035339054241710244
Completion_Time,regression,PID_Output,0.13120030576657626
Completion_Time,regression,Fuzzy_Tuned_Kp,0.1869427948198279
Completion_Time,regression,Fuzzy_Tuned_Ki,0.18877768334025782
Completion_Time,regression,Fuzzy_Tuned_Kd,0.28126095445340366
Completion_Time,regression,Resource_Allocated,0.11685245545106682
Completion_Time,regression,Priority_Level,0.022978974809350444
Downtime,regression,Process_Variable,0.0026028702628077363
Downtime,regression,Machine_Load,0.00017576282525736767
Downtime,regression,Queue_Length,0.00047901723340052865
Downtime,regression,Deadline,0.0026044958322254765
Downtime,regression,Temperature,0.002308228624609517
Downtime,regression,Vibration_Level,0.004870120745138706
Downtime,regression,Sensor_Status,0.0
Downtime,regression,PID_Output,0.0
Downtime,regression,Fuzzy_Tuned_Kp,0.002473029086441869
Downtime,regression,Fuzzy_Tuned_Ki,0.0
Downtime,regression,Fuzzy_Tuned_Kd,0.004373155213001745
Downtime,regression,Resource_Allocated,0.011009862730271713
Downtime,regression,Priority_Level,0.0
Energy_Used,regression,Process_Variable,0.01276253206281345
Energy_Used,regression,Machine_Load,0.009987911004371833
Energy_Used,regression,Queue_Length,0.011491621015370749
Energy_Used,regression,Deadline,0.011796605257657985
Energy_Used,regression,Temperature,0.017011239300478802
Energy_Used,regression,Vibration_Level,0.008569120580136294
Energy_Used,regression,Sensor_Status,0.0034481179694267894
Energy_Used,regression,PID_Output,0.0291020731199992
Energy_Used,regression,Fuzzy_Tuned_Kp,0.0072577645422263375
Energy_Used,regression,Fuzzy_Tuned_Ki,0.020252120237678046
Energy_Used,regression,Fuzzy_Tuned_Kd,0.03312481729892506
Energy_Used,regression,Resource_Allocated,0.026905994545540917
Energy_Used,regression,Priority_Level,0.005872780431637636
Machine_Wear,regression,Process_Variable,0.011255398837337319
Machine_Wear,regression,Machine_Load,0.005519338604835629
Machine_Wear,regression,Queue_Length,0.013041635114385977
Machine_Wear,regression,Deadline,0.003914486300255741
Machine_Wear,regression,Temperature,0.00868880380966175
Machine_Wear,regression,Vibration_Level,0.03263696231100729
Machine_Wear,regression,Sensor_Status,0.0
Machine_Wear,regression,PID_Output,0.0
Machine_Wear,regression,Fuzzy_Tuned_Kp,0.0067325384309408305
Machine_Wear,regression,Fuzzy_Tuned_Ki,0.023740878885570044
Machine_Wear,regression,Fuzzy_Tuned_Kd,0.014806509629758343
Machine_Wear,regression,Resource_Allocated,0.021817217539182348
Machine_Wear,regression,Priority_Level,0.0
Predictive_Failure_Score,regression,Process_Variable,0.0029417962169386858
Predictive_Failure_Score,regression,Machine_Load,0.005625145273699857
Predictive_Failure_Score,regression,Queue_Length,0.0007712766761201473
Predictive_Failure_Score,regression,Deadline,0.007449309208684807
Predictive_Failure_Score,regression,Temperature,0.003926626512666971
Predictive_Failure_Score,regression,Vibration_Level,0.0030580872060213906
Predictive_Failure_Score,regression,Sensor_Status,0.0013015144872255597
Predictive_Failure_Score,regression,PID_Output,0.0052638807458867025
Predictive_Failure_Score,regression,Fuzzy_Tuned_Kp,0.0015956953020758724
Predictive_Failure_Score,regression,Fuzzy_Tuned_Ki,0.0025341104527145664
Predictive_Failure_Score,regression,Fuzzy_Tuned_Kd,0.0029882329201561344
Predictive_Failure_Score,regression,Resource_Allocated,0.004393951813401557
Predictive_Failure_Score,regression,Priority_Level,0.0011175301076906303
Error,regression,Process_Variable,13.392863569116392
Error,regression,Machine_Load,0.05597083341194847
Error,regression,Queue_Length,0.08889022731476948
Error,regression,Deadline,0.065268330630578
Error,regression,Temperature,0.061058330722392466
Error,regression,Vibration_Level,0.04944591572511167
Error,regression,Sensor_Status,0.030359419083762922
Error,regression,PID_Output,0.04955450834134443
Error,regression,Fuzzy_Tuned_Kp,0.04566214098947674
Error,regression,Fuzzy_Tuned_Ki,0.051669570740508985
Error,regression,Fuzzy_Tuned_Kd,0.06191011260465062
Error,regression,Resource_Allocated,0.14556255575618265
Error,regression,Priority_Level,0.012533830191698117
Maintenance_Required,classification,Process_Variable,0.00412075549604433
Maintenance_Required,classification,Machine_Load,0.006125645845781809
